# Created by CS-Studio Data Browser
# 
# Start Time : 2022-02-03 10:24:24.852
# End Time   : 2022-02-26 14:19:50.934
# Source     : Optimized Archived Data
# Desired Value Count: 10000.0
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: HAD:STS:GAS:measure0
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure1
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure2
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure3
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure4
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure5
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 

# Time	HAD:STS:GAS:measure0 Value	HAD:STS:GAS:measure1 Value	HAD:STS:GAS:measure2 Value	HAD:STS:GAS:measure3 Value	HAD:STS:GAS:measure4 Value	HAD:STS:GAS:measure5 Value
2022-02-03 22:45:00.000	375.93	41.84	200.02	199.99	2.00	2.00
2022-02-03 22:48:20.000	363.74	40.29	200.01	200.00	2.00	2.00
2022-02-03 22:51:40.000	377.77	41.91	200.00	200.01	2.00	2.00
2022-02-03 22:55:00.000	374.20	41.44	199.99	200.01	2.00	2.00
2022-02-03 22:58:20.000	371.00	41.01	199.99	199.98	2.00	2.00
2022-02-03 23:01:40.000	374.12	41.31	199.99	200.01	2.00	2.00
2022-02-03 23:05:00.000	365.33	40.76	199.99	200.00	2.00	2.00
2022-02-03 23:08:20.000	363.59	40.45	200.01	200.00	2.00	2.00
2022-02-03 23:11:40.000	371.09	41.15	200.00	200.00	2.00	2.00
2022-02-03 23:15:00.000	378.49	42.21	199.99	200.00	2.00	2.00
2022-02-03 23:18:20.000	378.69	42.00	199.98	199.98	2.00	2.00
2022-02-03 23:21:40.000	366.08	40.95	199.99	200.01	2.00	2.00
2022-02-03 23:25:00.000	364.39	40.26	200.00	199.98	2.00	2.00
2022-02-03 23:28:20.000	375.60	41.69	199.99	199.97	2.00	2.00
2022-02-03 23:31:40.000	382.15	42.79	200.01	199.99	2.00	2.00
2022-02-03 23:35:00.000	379.86	41.96	199.98	200.00	2.00	2.00
2022-02-03 23:38:20.000	371.56	41.22	200.02	200.00	2.00	2.00
2022-02-03 23:41:40.000	373.47	41.25	199.99	200.00	2.00	2.00
2022-02-03 23:45:00.000	367.99	40.88	200.00	200.00	2.00	2.00
2022-02-03 23:48:20.000	373.18	41.54	199.99	199.99	2.00	2.00
2022-02-03 23:51:40.000	368.61	40.86	199.99	200.01	2.00	2.00
2022-02-03 23:55:00.000	388.85	43.03	200.02	200.00	2.00	2.00
2022-02-03 23:58:20.000	388.52	43.26	199.98	199.99	2.00	2.00
2022-02-04 00:01:40.000	362.75	40.12	200.01	200.00	2.00	2.00
2022-02-04 00:05:00.000	380.96	42.12	200.00	200.01	2.00	2.00
2022-02-04 00:08:20.000	379.28	42.09	200.02	200.02	2.00	2.00
2022-02-04 00:11:40.000	376.42	41.62	200.01	200.00	2.00	2.00
2022-02-04 00:15:00.000	375.77	41.69	200.00	200.01	2.00	2.00
2022-02-04 00:18:20.000	374.23	41.87	199.99	200.01	2.00	2.00
2022-02-04 00:21:40.000	366.28	40.62	199.99	199.98	2.00	2.00
2022-02-04 00:25:00.000	379.38	42.11	199.99	199.99	2.00	2.00
2022-02-04 00:28:20.000	374.65	41.41	199.99	199.99	2.00	2.00
2022-02-04 00:31:40.000	376.86	42.21	199.99	200.02	2.00	2.00
2022-02-04 00:35:00.000	366.13	40.85	200.02	200.01	2.00	2.00
2022-02-04 00:38:20.000	370.77	41.27	200.01	200.01	2.00	2.00
2022-02-04 00:41:40.000	372.47	41.67	199.99	200.00	2.00	2.00
